nombre,apariciones,bodega_real
Chº Lafite-Rothschild20161º Cru C,2,
Carruades de Lafite20132º Vino,2,
Chº Mouton-Rothschild20171º Cru C,2,
Chº Figeac20191º G.cru C,2,
Chº Haut-Brion20191º Cru C,2,
Chº Ángelus20191º G.cru C.a,2,
Blason D’issan20202º Vino,2,
Chº Léoville Las Cases20212º Cru C,2,
Vieux Chº Certan 2021,2,
Chº Lynch Bages20215º Cru C,2,
Virginie de Valandraud20202º Vino,2,
Chº Lascombes20202º Cru C,2,
Domaine Chevalier2020c. C,2,
Chº Cheval Blanc20191º G.cru C.a,2,
Chº Léoville Las Cases20172º Cru C,2,
Chº Cos D’ournel20192º Cru C,2,
Le Pin 2017,2,
Petrus 2018,2,
Chº Léoville Las Cases20182º Cru C,2,
Chº Margaux20181º Cru C,2,
Chº Lafite-Rothschild20181º Cru C,2,
Petrus 2019,2,
Chº Mouton-Rothschild20191º Cru C,2,
Chº Lafite-Rothschild20191º Cru C,2,
Chº Haut-Brion20201º Cru C,2,
Chº Ángelus20211º G.cru C.a,2,
Petrus 2021,2,
La Chapelle D’ausone20092º Vino,1,
Chº Haut-Brion20101º Cru C,1,
Chº Léoville Las Cases20102º Cru C,1,
Chº Latour20101º Cru C,1,
Chº Latour20111º Cru C,1,
Chº Smith Haut Lafitte2010g. Cru C,1,
Carruades de Lafite20162º Vino,1,
Le Pin 2015,1,
Chº Mouton-Rothschild20141º Cru C,1,
Chº la Mission Haut-Brion2010c. C,1,
Chº Duhart-Milon20164º Cru C,1,
Chº Margaux20161º Cru C,1,
La Chapelle D’ausone20152º Vino,1,
Le Petit Mouton20162º Vino,1,
Le Clarence de Haut Brion20112º Vino,1,
Chº Grand-Puy-Lacoste20145º Cru C,1,
Le Pin 2012,1,
Chº la Conseillante 2015,1,
Chº Duhart-Milon20134º Cru C,1,
Chº Mouton-Rothschild20151º Cru C,1,
Le Petit Mouton20122º Vino,1,
Chº Rauzan-Ségla20142º Cru C,1,
Carruades de Lafite20112º Vino,1,
Chº Léoville Las Cases20142º Cru C,1,
Chº Gazin 2012,1,
Chº Mouton-Rothschild20161º Cru C,1,
Chº Ausone20111º G.cru C.a,1,
Chº de Valandraud20111º G.cru C,1,
Chº Lafite-Rothschild20121º Cru C,1,
Chº Montrose20162º Cru C,1,
Chº Léoville Las Cases20112º Cru C,1,
Carruades de Lafite20172º Vino,1,
Chº Giscours20173º Cru C,1,
Chº Margaux20171º Cru C,1,
Chº Gazin 2016,1,
Chº Léoville Poyferré20172º Cru C,1,
Chº Palmer20173º Cru C,1,
Pavillon Rouge du Chº Margaux20172º Vino,1,
Chº Beychevelle20154º Cru C,1,
Chº Brane-Cantenac20172º Cru C,1,
Baron de Brane20172º Vino,1,
Chº le Bon Pasteur 2017,1,
Chº L’evangile 2016,1,
Chº Lascombes20172º Cru C,1,
