nombre,apariciones,bodega_real
CH. la Fleur-Pétrus 2021,2,
2nd Pez 2021,2,
CH. Côte de Baleau2020g. Cru C,2,
CH. Pindefleurs2021g. Cru C,2,
CH. la Fleur-Pétrus 2022,2,
CH. Chantalouette 2021,2,
CH. Lafleur-Gazin 2021,2,
Bad Boy 2022,2,
CH. de Pez 2019,2,
CH. de Pez 2022,2,
CH. de Pez 2021,1,
Espérance Trotanoy 2021,1,
CH. Guillot Clauzel 2020,1,
CH. Guillot Clauzel 2022,1,
CH. Peymouton2021g. Cru C,1,
Espérance Trotanoy 2019,1,
CH. la Serre2022g. Cru C,1,
CH. Côte de Baleau2022g. Cru C,1,
CH. Latour à Pomerol 2022,1,
Espérance Trotanoy 2018,1,
Bad Boy 2020,1,
CH. Guillot Clauzel 2021,1,
Annonce Bélair-Monange2018g. Cru C,1,
La Violette du Manoir 2018,1,
CH. Trotanoy 2021,1,
CH. Chantalouette 2020,1,
CH. Fonbel2020g. Cru C,1,
Bordeaux 2022,1,
CH. Peymouton2020g. Cru C,1,
CH. Barrail du Blanc2022g. Cru C,1,
CH. Hosanna 2021,1,
CH. Bourgneuf 2022,1,
CH. Peymouton2022g. Cru C,1,
Lune D'argent 2022,1,
CH. la Serre2021g. Cru C,1,
CH. Bélair-Monange20211º G.cru C,1,
La Petite Lune 2022,1,
CH. Pindefleurs2022g. Cru C,1,
CH. Fonbel2022g. Cru C,1,
CH. Côte de Baleau2021g. Cru C,1,
CH. la Grave Trigant 2021,1,
CH. Latour à Pomerol 2021,1,
Clos Saint-Martin2021g. Cru C,1,
Annonce Bélair-Monange2021g. Cru C,1,
CH. Trotanoy 2022,1,
CH. Bélair-Monange20221º G.cru C,1,
Annonce Bélair-Monange2020g. Cru C,1,
CH. la Dauphine 2020,1,
CH. la Dauphine 2022,1,
CH. la Dauphine 2021,1,
CH. de Carles 2022,1,
CH. de Carles 2021,1,
2nd Pez 2019,1,
CH. de Pez 2020,1,
