nombre,apariciones,bodega_real
Im Sonnenschein,22,
Kastanienbusch,21,
Ganz Horn - Im SONN.,12,
Im Sonnensch.ph0(oro),7,
"""Riesling Tr. Tonel 3""",6,
Schäwer,6,
Münzberg,5,
"""Vom Buntsandstein Tr.""",5,
"""Vom Muschelkalk Tr.""",4,
Biengarten,3,
"""Vom Rotliegenden Birkw""",3,
Ph0(oro),3,
Latt,3,
"""Siebeld. vom Muschelkalk"" R.tr.""",2,
"Im Sonnenschein ""R""",1,
"""-R- Riesling Sekt Extra Brut""",1,
"""Sieb.Spätb. Muschelk.""",1,
"""Spätburgunder Tradition""",1,
"""Spätburgunder R""",1,
"""Vom Schiefer (Burrweiler) R.Tr.""",1,
"""Vom Rotliegenden Birkw.""",1,
"""Tinaja Riesling Pizarra""",1,
"Kastanienbusch ""Tonel 51""",1,
