valor_original,propuesta_canonica,grupo_id,apariciones,confianza,DUDOSO
Domaine Jessiaume,Domaine Jessiaume,1,113,MEDIA,
ÖKONOMIERAT REBHOLZ,ÖKONOMIERAT REBHOLZ,2,111,MEDIA,
BODEGA ARTADI,BODEGA ARTADI,3,94,ALTA,
ARTADI,BODEGA ARTADI,3,10,ALTA,
GEHEIMER RAT DR. VON BASSERMANN - JORDAN,GEHEIMER RAT DR. VON BASSERMANN - JORDAN,4,92,MEDIA,
DOMAINE DE MONTILLE,DOMAINE DE MONTILLE,5,85,MEDIA,
Louis Latour,Louis Latour,6,78,MEDIA,
PETER JAKOB KÜHN,PETER JAKOB KÜHN,7,78,MEDIA,
HERMANN DÖNNHOFF,HERMANN DÖNNHOFF,8,78,MEDIA,
TERROIR AL LÍMIT,TERROIR AL LÍMIT,9,75,MEDIA,
VAN VOLXEM,VAN VOLXEM,10,74,MEDIA,
LÓPEZ DE HEREDIA,LÓPEZ DE HEREDIA,11,68,MEDIA,
GAJA,GAJA,12,68,MEDIA,
LOUIS ROEDERER,LOUIS ROEDERER,13,66,MEDIA,
A. CHRISTMANN,A. CHRISTMANN,14,64,MEDIA,
EMRICH - SCHÖNLEBER,EMRICH - SCHÖNLEBER,15,62,MEDIA,
EDETÀRIA,EDETÀRIA,16,31,ALTA,
EDETARIA,EDETÀRIA,16,28,ALTA,
Louis Vallet - Charodon,Louis Vallet - Charodon,17,58,MEDIA,
CHÂTEAU MARGAUX,CHÂTEAU MARGAUX,18,56,MEDIA,
CLEMENS BUSCH,CLEMENS BUSCH,19,56,MEDIA,
SCHÄFER - FRÖHLICH,SCHÄFER - FRÖHLICH,20,55,MEDIA,
VIGNOBLE MILLAIRE,VIGNOBLE MILLAIRE,21,54,MEDIA,
THIENPONT,THIENPONT,22,51,MEDIA,
Tempos Vega Sicilia,Tempos Vega Sicilia,23,51,MEDIA,
QUINTA DO NOVAL,QUINTA DO NOVAL,24,50,MEDIA,
ROGER GOULART,ROGER GOULART,25,47,MEDIA,
C.V.N.E.,C.V.N.E.,26,45,MEDIA,
GUNDERLOCH,GUNDERLOCH,27,45,MEDIA,
WAGNER - STEMPEL,WAGNER - STEMPEL,28,44,MEDIA,
Dirk Niepoort,Dirk Niepoort,29,44,MEDIA,
Marthe Henry Boillot - Meursault,Marthe Henry Boillot - Meursault,30,43,MEDIA,
GRANS - FASSIAN,GRANS - FASSIAN,31,43,MEDIA,
M,M,32,42,MEDIA,TRUE
Marqués de Legarda,Marqués de Legarda,33,40,MEDIA,
Bastian Wolber,Bastian Wolber,34,39,MEDIA,
FÜRST,FÜRST,35,39,MEDIA,
DONNAFUGATA,DONNAFUGATA,36,38,MEDIA,
Mongeard Mugneret - Vosne-Romanée,Mongeard Mugneret - Vosne-Romanée,37,38,MEDIA,
MARKUS MOLITOR,MARKUS MOLITOR,38,37,MEDIA,
TOLLO,TOLLO,39,37,MEDIA,
KÜNSTLER,KÜNSTLER,40,36,MEDIA,
Equipo Navazos,Equipo Navazos,41,35,MEDIA,
ETS. JEAN PIERRE MOUEIX,ETS. JEAN PIERRE MOUEIX,42,35,MEDIA,
FRITZ HAAG,FRITZ HAAG,43,35,MEDIA,
Albamar,Albamar,44,34,MEDIA,
COTA 45,COTA 45,45,25,ALTA,
Bodegas Cota 45,COTA 45,45,9,ALTA,
DR. BÜRKLIN - WOLF,DR. BÜRKLIN - WOLF,46,33,MEDIA,
GERMÁN BLANCO,GERMÁN BLANCO,47,32,MEDIA,
TERRA REMOTA,TERRA REMOTA,48,31,MEDIA,
JUVÉ & CAMPS,JUVÉ & CAMPS,49,31,MEDIA,
Primitivo Collantes,Primitivo Collantes,50,16,ALTA,
PRIMITIVO COLLANTES,Primitivo Collantes,50,15,ALTA,
Vega Sicilia,Vega Sicilia,51,23,ALTA,
VEGA SICILIA,Vega Sicilia,51,7,ALTA,
PAOLOLEO,PAOLOLEO,52,29,MEDIA,
EMMERICH KNOLL,EMMERICH KNOLL,53,29,MEDIA,
BODEGAS RODA,BODEGAS RODA,54,29,MEDIA,
TERRA M,TERRA M,55,29,MEDIA,
ANTINORI,ANTINORI,56,29,MEDIA,
HEYMANN - LÖWENSTEIN,HEYMANN - LÖWENSTEIN,57,29,MEDIA,
MAXIMIN GRÜNHAUS - SCHUBERT’SCHE GUTSVERWALTUNG,MAXIMIN GRÜNHAUS - SCHUBERT’SCHE GUTSVERWALTUNG,58,28,MEDIA,
CHÂTEAU PICHON BARON,CHÂTEAU PICHON BARON,59,28,MEDIA,
ENATE,ENATE,60,28,MEDIA,
WITTMANN,WITTMANN,61,28,MEDIA,
ÁLVARO PALACIOS,ÁLVARO PALACIOS,62,27,MEDIA,
DE LA RIVA,DE LA RIVA,63,23,ALTA,
Bodegas De La Riva,DE LA RIVA,63,4,ALTA,
PIERA,PIERA,64,26,MEDIA,
M. CHAPOUTIER,M. CHAPOUTIER,65,26,MEDIA,
REICHSGRAF VON KESSELSTATT,REICHSGRAF VON KESSELSTATT,66,26,MEDIA,
