valor_original,apariciones,propuesta_canonica,nivel,padre,confianza,DUDOSO
Alemania,1168,Alemania,pais,,ALTA,
Francia,763,Francia,pais,,ALTA,
Vinos Y Destilados De Selección,548,,,,,TRUE
Borgoña,529,Borgoña,do,Francia,ALTA,
España,303,España,pais,,ALTA,
D.O. Ca. Rioja,300,Rioja,do,,ALTA,
Bourgogne,277,Borgoña,do,Francia,ALTA,
Italia,269,Italia,pais,,ALTA,
Champagne,233,Champagne,do,Francia,ALTA,
D.O. Ca. Priorat,200,Priorat,do,Cataluña,ALTA,
D.O. Ribera Del Duero,194,Ribera del Duero,do,Castilla y León,ALTA,
Bordeaux,172,Bordeaux,do,Francia,ALTA,
Toscana,147,Toscana,region,,ALTA,
Andalucía,145,Andalucía,region,,ALTA,
Rioja,132,Rioja,do,,ALTA,
Argentina,130,Argentina,pais,,ALTA,
Castilla Y León,115,Castilla y León,region,,ALTA,
Piemonte,115,Piemonte,region,,ALTA,
Sicilia,100,Sicilia,region,,ALTA,
Ribera Del Duero,96,Ribera del Duero,do,Castilla y León,ALTA,
California,92,California,region,,ALTA,
Sanlucar,90,Manzanilla-Sanlúcar,do,Andalucía,ALTA,
Rhône,81,Rhône,region,Francia,ALTA,
Rias Baixas,73,Rías Baixas,do,Galicia,ALTA,
Douro,72,Douro,do,,ALTA,
La Rioja,68,Rioja,do,,ALTA,
D.O. Montsant,64,Montsant,do,Cataluña,ALTA,
Austria,60,Austria,pais,,ALTA,
D.O. Terra Alta,59,Terra Alta,do,Cataluña,ALTA,
Xerez,52,Jerez-Xérès-Sherry,do,Andalucía,ALTA,
Galicia,51,Galicia,region,,ALTA,
Sierras De Málaga,51,Sierras de Málaga,do,Andalucía,ALTA,
Port,46,Porto,do,,MEDIA,
Toro,44,Toro,do,Castilla y León,MEDIA,
Abruzzo,41,Abruzzo,region,,MEDIA,
Paradis,41,,,,,TRUE
Bierzo,41,Bierzo,do,Castilla y León,MEDIA,
Mosel,40,Mosel,do,,MEDIA,
Burdeos,39,Bordeaux,do,Francia,MEDIA,
Veneto,37,Veneto,region,,MEDIA,
Australia,37,Australia,pais,,MEDIA,
Rheingau,36,Rheingau,do,,MEDIA,
Tokaji,36,Tokaj,do,,MEDIA,
D.O. Rias Baixas,35,Rías Baixas,do,Galicia,MEDIA,
Puglia,34,Puglia,region,,MEDIA,
Friuli Venezia Giulia,34,Friuli-Venezia Giulia,region,,MEDIA,
D.O. Somontano,33,Somontano,do,Aragón,MEDIA,
D.O. Cava,33,Cava,do,,MEDIA,
Cataluña,31,Cataluña,region,,MEDIA,
Hungría,31,Hungría,pais,,MEDIA,
Navarra,31,Navarra,do,,MEDIA,
Lombardia,31,Lombardía,region,,MEDIA,
D.O. Rueda,30,Rueda,do,Castilla y León,MEDIA,
D.O. Toro,29,Toro,do,Castilla y León,MEDIA,
D.O. Bierzo,29,Bierzo,do,Castilla y León,MEDIA,
Alsace,27,Alsacia,do,Francia,MEDIA,
Ribeiro,27,Ribeiro,do,Galicia,MEDIA,
Cava,27,Cava,do,,MEDIA,
Chile,26,Chile,pais,,MEDIA,
Portugal,26,Portugal,pais,,MEDIA,
Loira,26,Valle del Loira,region,Francia,MEDIA,
D.O. Alella,25,Alella,do,Cataluña,MEDIA,
D.O. Vinos De Madrid,25,Vinos de Madrid,do,,MEDIA,
Jura,25,Jura,region,Francia,MEDIA,
D.O. Valencia,24,Valencia,do,,MEDIA,
D.O. Navarra,24,Navarra,do,,MEDIA,
Loire,23,Valle del Loira,region,Francia,MEDIA,
Chablis,22,Chablis,do,Borgoña,MEDIA,
D.O. Empordà,22,Empordà,do,Cataluña,MEDIA,
D.O. Jerez,22,Jerez-Xérès-Sherry,do,Andalucía,MEDIA,
Emilia Romagna,21,Emilia-Romaña,region,,MEDIA,
I.G.P. Castilla Y León,21,Castilla y León,region,,MEDIA,
D.O. Valdeorras,20,Valdeorras,do,Galicia,MEDIA,
D.O.P. Cebreros,20,Cebreros,do,,MEDIA,
Penedes,19,Penedès,do,Cataluña,MEDIA,
D.O. Montilla Moriles,19,Montilla-Moriles,do,Andalucía,MEDIA,
Canarias,18,Canarias,region,,MEDIA,
D.o.bierzo,18,Bierzo,do,Castilla y León,MEDIA,
Valle Del Iregua,18,,,,,TRUE
Brunelo Di Montalcino,17,Brunello di Montalcino,do,Toscana,MEDIA,
Côte De Nuits,17,Côte de Nuits,region,Borgoña,MEDIA,
Málaga,17,Málaga,do,Andalucía,MEDIA,
Vinos De Jerez,17,Jerez-Xérès-Sherry,do,Andalucía,MEDIA,
Ródano,17,Rhône,region,Francia,MEDIA,
D.O. Sierra De Málaga,16,Sierras de Málaga,do,Andalucía,MEDIA,
Chiclana,16,,,,,TRUE
D.O. Ribeira Sacra,16,Ribeira Sacra,do,Galicia,MEDIA,
Languedoc-rosellón,16,Languedoc-Roussillon,region,Francia,MEDIA,
L.g.p. Vino De La Tierra De Barbanza E Iria,16,,,,,TRUE
Alentejo,16,Alentejo,do,,MEDIA,
Nueva Zelanda,15,Nueva Zelanda,pais,,MEDIA,
Corpinnat,15,Corpinnat,do,Cataluña,MEDIA,
D.O. Jerez-xeres-sherry,15,Jerez-Xérès-Sherry,do,Andalucía,MEDIA,
Trentino Alto Adige,15,Trentino-Alto Adige,region,,MEDIA,
Barbaresco,15,Barbaresco,do,Piemonte,MEDIA,
Hungria,15,Hungría,pais,,MEDIA,
D.O. La Mancha,15,La Mancha,do,,MEDIA,
